Date,Open,High,Low,Close,Volume,Adj Close
2014-04-07,44.5,45.290001,43.869999,44.349998,5026900,44.349998
2014-04-08,44.23,44.689999,42.77,43.310001,6329100,43.310001
2014-04-09,43.18,44.619999,42.540001,44.52,9319900,44.52
2014-04-10,44.41,44.75,42.259998,42.279999,5767000,42.279999
2014-04-11,41.970001,42.869999,40.880001,41.490002,4168600,41.490002
2014-04-14,41.880001,42.0,40.43,41.119999,4537700,41.119999
2014-04-15,41.779999,42.77,40.5,41.98,5000900,41.98
2014-04-16,42.27,44.490002,42.189999,43.939999,4613900,43.939999
2014-04-17,44.0,44.029999,42.77,43.549999,3224100,43.549999
2014-04-21,43.419998,44.080002,42.799999,43.779999,3539300,43.779999
2014-04-22,44.049999,45.950001,44.040001,45.810001,4664200,45.810001
2014-04-23,47.060001,47.490002,45.509998,46.060001,4338700,46.060001
2014-04-24,44.18,44.580002,40.810001,41.529999,15587900,41.529999
2014-04-25,41.52,41.540001,39.25,39.41,13220400,39.41
2014-04-28,39.630001,39.82,38.060001,39.200001,11360600,39.200001
2014-04-29,39.349998,41.599998,39.27,41.560001,9453000,41.560001
2014-04-30,41.66,42.169998,40.490002,40.869999,8674700,40.869999
2014-05-01,40.77,41.880001,40.689999,40.919998,3201400,40.919998
2014-05-02,41.009998,41.34,40.25,40.720001,2637700,40.720001
2014-05-05,40.259998,41.0,39.75,40.52,3337800,40.52
2014-05-06,40.549999,41.049999,39.91,40.09,2852200,40.09
2014-05-07,40.080002,40.419998,38.93,39.900002,5593100,39.900002
2014-05-08,39.77,41.470001,39.709999,40.369999,5041300,40.369999
2014-05-09,40.279999,40.470001,39.509998,40.16,3885000,40.16
2014-05-12,40.330002,41.59,40.220001,41.580002,5333300,41.580002
2014-05-13,41.549999,42.34,41.310001,42.139999,4172500,42.139999
2014-05-14,41.900002,42.209999,41.130001,41.889999,3406700,41.889999
2014-05-15,41.48,41.650002,40.119999,40.799999,4732500,40.799999
2014-05-16,40.610001,41.049999,39.560001,40.509998,4289400,40.509998
2014-05-19,40.299999,41.75,40.209999,41.240002,3127100,41.240002
2014-05-20,41.259998,41.34,40.02,40.380001,4368400,40.380001
2014-05-21,40.43,41.98,40.43,41.32,6504000,41.32
2014-05-22,41.259998,42.360001,41.23,42.0,3589600,42.0
2014-05-23,42.0,44.389999,41.959999,43.57,7412100,43.57
2014-05-27,43.810001,44.0,43.27,43.490002,3643600,43.490002
2014-05-28,43.610001,45.419998,43.200001,44.889999,4373300,44.889999
2014-05-29,44.779999,45.330002,43.849998,44.599998,5394100,44.599998
2014-05-30,44.610001,45.299999,43.77,44.369999,7028800,44.369999
2014-06-02,44.490002,46.82,44.369999,46.700001,7957600,46.700001
2014-06-03,46.630001,47.75,46.5,47.509998,7507000,47.509998
2014-06-04,47.400002,48.060001,46.279999,46.869999,10944600,46.869999
2014-06-05,46.93,47.689999,46.830002,47.0,4454800,47.0
2014-06-06,47.25,48.130001,47.150002,48.049999,4178200,48.049999
2014-06-09,47.599998,48.130001,46.18,46.380001,7622000,46.380001
2014-06-10,46.259998,47.900002,45.5,47.759998,6683600,47.759998
2014-06-11,46.990002,47.27,44.919998,45.259998,9453100,45.259998
2014-06-12,44.02,44.130001,41.599998,42.599998,17072500,42.599998
2014-06-13,42.650002,43.369999,41.91,42.779999,10900500,42.779999
2014-06-16,42.490002,42.77,41.759998,42.529999,6974500,42.529999
2014-06-17,42.580002,44.049999,42.400002,43.919998,6882900,43.919998
2014-06-18,43.82,43.900002,43.009998,43.759998,5034900,43.759998
2014-06-19,44.240002,44.700001,43.130001,43.630001,3676700,43.630001
2014-06-20,43.799999,44.18,43.5,43.66,4864900,43.66
2014-06-23,43.639999,43.66,42.25,43.150002,5024000,43.150002
2014-06-24,43.150002,43.59,41.59,41.790001,6871400,41.790001
2014-06-25,41.580002,42.209999,40.740002,41.810001,5060000,41.810001
2014-06-26,41.490002,42.23,41.040001,41.509998,6673100,41.509998
2014-06-27,41.599998,42.080002,41.040001,41.490002,4881500,41.490002
2014-06-30,41.619999,42.189999,41.0,41.07,4453000,41.07
2014-07-01,41.740002,42.400002,41.310001,42.259998,6201000,42.259998
2014-07-02,40.889999,40.990002,39.220001,39.27,12841200,39.27
2014-07-03,39.549999,40.490002,39.549999,39.880001,4290700,39.880001
2014-07-07,39.869999,40.009998,38.080002,38.619999,8454700,38.619999
2014-07-08,37.439999,39.779999,36.650002,39.540001,15925200,39.540001
2014-07-09,40.549999,40.98,39.240002,40.07,7504500,40.07
2014-07-10,41.599998,45.259998,41.200001,45.169998,20815900,45.169998
2014-07-11,44.959999,45.810001,44.66,45.700001,7650600,45.700001
2014-07-14,45.73,45.830002,44.82,44.919998,5269100,44.919998
2014-07-15,45.240002,45.900002,44.889999,45.220001,5158400,45.220001
2014-07-16,45.349998,45.59,44.740002,44.900002,3880400,44.900002
2014-07-17,44.68,45.330002,42.959999,43.349998,8266200,43.349998
2014-07-18,43.759998,44.59,43.650002,44.25,5226100,44.25
2014-07-21,44.25,44.27,43.549999,43.790001,2590700,43.790001
2014-07-22,44.09,45.099998,43.959999,44.82,3545700,44.82
2014-07-23,44.75,46.32,44.599998,46.0,7820700,46.0
2014-07-24,48.93,49.279999,44.549999,44.919998,14792900,44.919998
2014-07-25,45.52,47.990002,45.220001,46.779999,11748200,46.779999
2014-07-28,46.799999,47.290001,45.880001,46.549999,5312900,46.549999
2014-07-29,46.77,46.900002,45.75,45.84,4900100,45.84
2014-07-30,47.43,47.740002,46.150002,46.970001,7006100,46.970001
2014-07-31,46.040001,47.220001,45.450001,46.389999,5015500,46.389999
2014-08-01,46.5,46.77,45.630001,46.73,3360900,46.73
2014-08-04,46.68,47.389999,44.950001,45.5,5029500,45.5
2014-08-05,45.68,46.169998,43.5,43.939999,8486300,43.939999
2014-08-06,43.549999,44.240002,42.66,43.889999,5368700,43.889999
2014-08-07,44.09,44.720001,42.709999,43.259998,5836500,43.259998
2014-08-08,43.23,43.23,41.93,42.950001,6789000,42.950001
2014-08-11,43.41,43.75,42.75,43.119999,4971500,43.119999
2014-08-12,43.41,43.639999,42.599998,42.799999,4529100,42.799999
2014-08-13,43.09,44.66,42.709999,44.110001,4068800,44.110001
2014-08-14,44.150002,45.939999,44.150002,45.919998,5620900,45.919998
2014-08-15,46.0,46.400002,44.990002,46.009998,5649100,46.009998
2014-08-18,46.400002,47.889999,46.32,47.84,5664900,47.84
2014-08-19,47.799999,48.32,47.419998,47.68,5411500,47.68
2014-08-20,47.98,49.360001,47.810001,49.25,4813800,49.25
2014-08-21,49.450001,49.52,47.830002,48.009998,5271500,48.009998
2014-08-22,48.189999,48.849998,48.0,48.459999,3380700,48.459999
2014-08-25,48.799999,49.0,48.080002,48.509998,3591100,48.509998
2014-08-26,48.650002,48.82,48.080002,48.220001,2270200,48.220001
2014-08-27,48.18,48.75,47.919998,48.220001,2438100,48.220001
2014-08-28,47.830002,48.5,47.52,48.32,2203700,48.32
2014-08-29,48.150002,48.41,47.23,47.610001,4096000,47.610001
2014-09-02,48.0,50.0,48.0,49.990002,6237800,49.990002
2014-09-03,48.740002,49.150002,48.200001,49.029999,5439400,49.029999
